"player","position","position_type","game_id","game_date","season","session","team","opponent","is_home","toi_all","toi_ev","toi_pp","toi_sh","shf","avg","g","a","p","p_m","pen","pim","s","a_b","ms","ht","gv","tk","bs","fw","fl","fo_perc"
"ANTHONY.DUCLAIR","L","F","2019020001","2019-10-02","20192020","R","OTT","TOR",0,16.88,10.17,3.38,3.33,26,0.63,0,0,0,1,0,0,3,0,0,4,0,0,0,1,0,100
"ARTEM.ANISIMOV","C","F","2019020001","2019-10-02","20192020","R","OTT","TOR",0,19.67,13.1,3.8,2.77,26,0.75,0,0,0,-4,0,0,1,0,0,0,0,1,2,9,6,60
"BOBBY.RYAN","R","F","2019020001","2019-10-02","20192020","R","OTT","TOR",0,15.27,12.65,2.62,0,24,0.63,1,0,1,1,0,0,3,1,3,4,0,2,0,1,0,100
"BRADY.TKACHUK","L","F","2019020001","2019-10-02","20192020","R","OTT","TOR",0,17.53,15.33,2.2,0,23,0.75,1,0,1,0,1,2,2,0,3,6,0,0,0,3,4,43
"CHRIS.TIERNEY","C","F","2019020001","2019-10-02","20192020","R","OTT","TOR",0,17.68,12.05,3.15,2.48,23,0.77,0,1,1,1,0,0,1,0,1,5,1,0,2,9,6,60
"COLIN.WHITE2","C","F","2019020001","2019-10-02","20192020","R","OTT","TOR",0,16.28,13.72,2.57,0,23,0.7,0,1,1,1,1,2,1,0,0,0,0,0,0,8,7,53
"CONNOR.BROWN","R","F","2019020001","2019-10-02","20192020","R","OTT","TOR",0,18.08,12.32,2.7,3.07,26,0.68,0,1,1,1,1,2,0,0,0,1,0,0,0,1,1,50
"CRAIG.ANDERSON","G","G","2019020001","2019-10-02","20192020","R","OTT","TOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DRAKE.BATHERSON","C","F","2019020001","2019-10-02","20192020","R","OTT","TOR",0,11.43,11.43,0,0,15,0.75,0,0,0,-4,0,0,0,0,1,0,0,1,0,1,0,100
"DYLAN.DEMELO","D","D","2019020001","2019-10-02","20192020","R","OTT","TOR",0,16.02,12.05,0.13,3.83,25,0.63,0,0,0,1,0,0,1,0,0,5,1,1,3,0,0,0
"ERIK.BRANNSTROM","D","D","2019020001","2019-10-02","20192020","R","OTT","TOR",0,15.95,13.67,2.28,0,22,0.72,0,0,0,0,0,0,1,1,0,4,1,0,2,0,0,0
"FILIP.CHLAPIK","C","F","2019020001","2019-10-02","20192020","R","OTT","TOR",0,5.33,5.33,0,0,11,0.48,0,1,1,1,1,2,0,0,0,2,0,0,0,0,0,0
"JEAN-GABRIEL.PAGEAU","C","F","2019020001","2019-10-02","20192020","R","OTT","TOR",0,13.2,9.6,0.02,3.58,20,0.65,0,1,1,1,0,0,0,0,0,1,0,1,0,8,7,53
"MARK.BOROWIECKI","D","D","2019020001","2019-10-02","20192020","R","OTT","TOR",0,15.78,12.5,0,3.28,26,0.6,0,1,1,1,0,0,1,2,0,1,1,0,1,0,0,0
"NIKITA.ZAITSEV","D","D","2019020001","2019-10-02","20192020","R","OTT","TOR",0,23.98,19.63,0.02,4.33,28,0.85,0,0,0,-2,0,0,4,0,2,3,1,0,0,0,0,0
"RON.HAINSEY","D","D","2019020001","2019-10-02","20192020","R","OTT","TOR",0,17.55,12.83,0,4.72,29,0.6,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0
"SCOTT.SABOURIN","R","F","2019020001","2019-10-02","20192020","R","OTT","TOR",0,8.45,8.45,0,0,12,0.7,1,0,1,1,0,0,3,1,1,4,0,0,1,0,0,0
"THOMAS.CHABOT","D","D","2019020001","2019-10-02","20192020","R","OTT","TOR",0,24.83,20.95,3.72,0.17,29,0.85,0,0,0,-2,0,0,4,2,1,1,0,1,2,0,0,0
"TYLER.ENNIS","C","F","2019020001","2019-10-02","20192020","R","OTT","TOR",0,19.45,14.93,3.42,1.1,24,0.8,0,0,0,-3,1,2,1,1,1,1,1,0,2,1,0,100
"ALEX.KERFOOT","C","F","2019020001","2019-10-02","20192020","R","TOR","OTT",1,14.97,11.05,3.92,0,23,0.65,0,0,0,1,1,2,0,0,1,2,0,0,0,4,10,29
"ANDREAS.JOHNSSON","L","F","2019020001","2019-10-02","20192020","R","TOR","OTT",1,17.37,13.12,4.25,0,22,0.78,0,0,0,0,0,0,3,4,1,1,0,0,1,0,0,0
"AUSTON.MATTHEWS","C","F","2019020001","2019-10-02","20192020","R","TOR","OTT",1,18.43,14.18,4.25,0,23,0.8,2,0,2,0,0,0,8,2,4,0,1,3,0,6,7,46
"CODY.CECI","D","D","2019020001","2019-10-02","20192020","R","TOR","OTT",1,22.02,18.98,0,3.03,27,0.8,0,0,0,0,0,0,1,1,1,2,0,1,2,0,0,0
"DMYTRO.TIMASHOV","L","F","2019020001","2019-10-02","20192020","R","TOR","OTT",1,8.83,8.17,0,0.67,15,0.58,0,1,1,0,1,2,0,1,1,4,0,0,0,0,0,0
"FREDERIK.ANDERSEN","G","G","2019020001","2019-10-02","20192020","R","TOR","OTT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"FREDERIK.GAUTHIER","C","F","2019020001","2019-10-02","20192020","R","TOR","OTT",1,9.48,7.78,0,1.7,16,0.58,1,0,1,0,0,0,1,0,0,0,1,0,1,3,5,38
"ILYA.MIKHEYEV","R","F","2019020001","2019-10-02","20192020","R","TOR","OTT",1,15.27,12.75,0,2.52,26,0.58,1,1,2,2,0,0,1,1,2,1,2,1,1,0,0,0
"JAKE.MUZZIN","D","D","2019020001","2019-10-02","20192020","R","TOR","OTT",1,22.1,19.42,0.23,2.45,29,0.75,0,0,0,0,0,0,1,1,2,1,1,2,1,0,0,0
"JOHN.TAVARES","C","F","2019020001","2019-10-02","20192020","R","TOR","OTT",1,18.22,13.82,4.4,0,24,0.75,0,1,1,0,0,0,2,0,2,0,1,3,0,13,10,57
"KASPERI.KAPANEN","R","F","2019020001","2019-10-02","20192020","R","TOR","OTT",1,18.03,12.73,3.68,1.62,26,0.68,0,0,0,-1,0,0,1,0,1,3,0,1,0,0,0,0
"MARTIN.MARINCIN","D","D","2019020001","2019-10-02","20192020","R","TOR","OTT",1,13.77,10.22,0,3.55,21,0.65,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0
"MITCH.MARNER","C","F","2019020001","2019-10-02","20192020","R","TOR","OTT",1,19.55,12.85,4.48,2.22,27,0.72,0,1,1,-1,0,0,3,0,2,0,1,0,0,0,0,0
"MORGAN.RIELLY","D","D","2019020001","2019-10-02","20192020","R","TOR","OTT",1,25.62,18,4.65,2.97,27,0.93,0,1,1,0,0,0,5,0,1,0,0,0,1,0,0,0
"NICK.SHORE","C","F","2019020001","2019-10-02","20192020","R","TOR","OTT",1,8.55,7.15,0.08,1.32,16,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,50
"RASMUS.SANDIN","D","D","2019020001","2019-10-02","20192020","R","TOR","OTT",1,8.97,8.97,0,0,12,0.73,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0
"TREVOR.MOORE","C","F","2019020001","2019-10-02","20192020","R","TOR","OTT",1,16.37,10.72,3.68,1.97,26,0.62,1,0,1,2,0,0,3,0,1,3,1,0,1,1,2,33
"TYSON.BARRIE","D","D","2019020001","2019-10-02","20192020","R","TOR","OTT",1,19.53,16.02,3.52,0,26,0.75,0,2,2,1,1,2,6,3,1,0,0,0,0,0,0,0
"WILLIAM.NYLANDER","C","F","2019020001","2019-10-02","20192020","R","TOR","OTT",1,17.08,13.4,3.68,0,22,0.77,0,1,1,0,0,0,3,2,0,0,1,1,0,0,4,0
